STATION,CBPSEG,cbpseg_st,LATITUDE,LONGITUDE,SUM,MEAN,COUNT,DistanceToNearestKm,Cell_ID
03R21,RPPMH,RPPMH_VA,37.8136,-76.7075,0.092,0.007666667,12,695.3327685,3960
03R22,RPPMH,RPPMH_VA,37.8117,-76.7039,0.044,0.003142857,14,853.1216409,3961
03R23,RPPMH,RPPMH_VA,37.8264,-76.7219,0.03,0.002307692,13,513.8544197,4044
03R24,RPPMH,RPPMH_VA,37.9064,-76.8083,0.027,0.002454545,11,542.2882053,4628
03R25,RPPMH,RPPMH_VA,37.9556,-76.8703,0.008,0.0016,5,1306.868705,4962
03R26,RPPMH,RPPMH_VA,37.9739,-76.8753,0.01,0.001428571,7,2172.420386,4962
03R28,RPPTF,RPPTF_VA,38.1606,-77.0853,0.02,0.001818182,11,14613.07291,6058
03Y01,MOBPH,MOBPH_VA,37.2528,-76.3689,0.012,0.0015,8,586.64329,1972
03Y02,MOBPH,MOBPH_VA,37.26,-76.375,0.053,0.002944444,18,719.825595,1972
03Y03,YRKPH,YRKPH_VA,37.2556,-76.4136,0.146,0.0045625,32,961.8692376,1885
03Y04,YRKPH,YRKPH_VA,37.2392,-76.435,0.017,0.002125,8,708.7719923,1800
03Y06,YRKPH,YRKPH_VA,37.2361,-76.4964,0.02,0.001666667,12,461.9013986,1712
03Y07,YRKPH,YRKPH_VA,37.2392,-76.5042,0.066,0.0033,20,383.2719613,1712
03Y08,YRKPH,YRKPH_VA,37.2511,-76.5181,0.021,0.00175,12,806.531118,1794
03Y09,YRKPH,YRKPH_VA,37.2614,-76.5367,0.039,0.001772727,22,170.980053,1793
03Y10,YRKPH,YRKPH_VA,37.2703,-76.5433,0.029,0.002071429,14,678.7226708,1792
03Y11,YRKPH,YRKPH_VA,37.2931,-76.5703,0.018,0.002,9,519.6754944,1874
03Y12,YRKMH,YRKMH_VA,37.3028,-76.5939,0.027,0.0018,15,707.9445457,1872
03Y13,YRKMH,YRKMH_VA,37.3142,-76.5886,0.056,0.003111111,18,164.4602877,1956
03Y15,YRKMH,YRKMH_VA,37.3583,-76.6286,0.048,0.005333333,9,1270.541035,2036
03Y16,YRKMH,YRKMH_VA,37.3903,-76.66,0.031,0.002384615,13,1011.374885,2118
03Y17,YRKMH,YRKMH_VA,37.3917,-76.6689,0.013,0.001625,8,1075.303447,2118
03Y18,YRKMH,YRKMH_VA,37.4094,-76.6694,0.064,0.004266667,15,534.2017221,2201
03Y19,YRKMH,YRKMH_VA,37.4172,-76.7044,0.035,0.003181818,11,876.6992616,2200
03Y20,YRKMH,YRKMH_VA,37.4306,-76.7081,0.016,0.0016,10,1448.079573,2199
03Y24,YRKMH,YRKMH_VA,37.4775,-76.7447,0.051,0.003642857,14,3527.142743,2282
03Y26,YRKMH,YRKMH_VA,37.5222,-76.7892,0.085,0.007727273,11,9791.155354,2282
04J01,JMSPH,JMSPH_VA,36.9564,-76.2847,0.045,0.006428571,7,1548.002899,730
04J02,JMSPH,JMSPH_VA,37.0058,-76.3378,0.039,0.002166667,18,1296.527752,810
04J03,JMSPH,JMSPH_VA,36.9803,-76.3708,0.044,0.00176,25,1481.761652,641
04J05,JMSMH,JMSMH_VA,36.9178,-76.4211,0.019,0.001727273,11,609.3508416,474
04J06,JMSMH,JMSMH_VA,36.9203,-76.4217,0.014,0.001555556,9,879.8953996,473
04J07,JMSMH,JMSMH_VA,36.9875,-76.4561,0.446,0.009911111,45,1436.900131,551
04J08,JMSMH,JMSMH_VA,36.8861,-76.46,0.081,0.007363636,11,786.0072239,389
04J09,JMSMH,JMSMH_VA,36.9019,-76.4764,0.006,0.001,6,431.6421371,388
04J10,JMSMH,JMSMH_VA,36.9997,-76.4761,0.097,0.002204545,44,1594.647186,549
04J11,JMSMH,JMSMH_VA,36.9669,-76.4806,0.034,0.003090909,11,1750.441689,551
04J14,JMSMH,JMSMH_VA,36.9978,-76.5256,0.049,0.0049,10,1001.188063,546
04J15,JMSMH,JMSMH_VA,37.0508,-76.5572,0.055,0.003235294,17,630.1244397,625
04J16,JMSMH,JMSMH_VA,37.0697,-76.5606,0.016,0.001454545,11,1066.299434,624
04J17,JMSMH,JMSMH_VA,37.0556,-76.5603,0.039,0.00325,12,382.3961614,625
04J19,JMSMH,JMSMH_VA,37.1583,-76.6231,0.238,0.017,14,323.1556111,868
04J20,JMSMH,JMSMH_VA,37.19,-76.625,0.025,0.0025,10,1233.598404,950
04J22,JMSMH,JMSMH_VA,37.0847,-76.6336,0.014,0.001166667,12,848.5875166,619
04J23,JMSMH,JMSMH_VA,37.1106,-76.6483,0.028,0.003111111,9,969.1887962,617
04J25,JMSOH,JMSOH_VA,37.1839,-76.7425,0.03,0.003,10,410.7910108,776
