STATION,CBPSEG,cbpseg_st,LATITUDE,LONGITUDE,SUM,MEAN,COUNT
07J04,LAFMH,LAFMH_VA,36.8916,-76.293,0.025,0.002272727272727273,11
07J06,JMSMH,JMSMH_VA,36.8896,-76.455,0.026000000000000002,0.002,13
07J07,JMSMH,JMSMH_VA,36.9197,-76.47849999999998,0.005,0.001,5
07J08,JMSMH,JMSMH_VA,36.9193,-76.5047,0.055,0.004230769230769231,13
07J09,JMSMH,JMSMH_VA,37.0541,-76.528,0.032,0.002,16
07J10,JMSMH,JMSMH_VA,37.0775,-76.54869999999998,0.064,0.004923076923076923,13
07J11,JMSMH,JMSMH_VA,37.0519,-76.6075,0.011,0.0018333333333333333,6
07J12,JMSMH,JMSMH_VA,37.0443,-76.6148,0.005,0.00125,4
07J13,JMSMH,JMSMH_VA,37.0544,-76.6259,0.015,0.0015,10
07J14,JMSMH,JMSMH_VA,37.0458,-76.6466,0.026,0.0026,10
07J15,JMSMH,JMSMH_VA,37.1555,-76.6588,0.048999999999999995,0.004454545454545454,11
07J16,JMSOH,JMSOH_VA,37.1901,-76.71639999999998,0.036,0.0032727272727272726,11
07J17,JMSOH,JMSOH_VA,37.2216,-76.8096,0.29300000000000004,0.029300000000000003,10
07J18,JMSOH,JMSOH_VA,37.2275,-76.8563,0.013000000000000001,0.0013000000000000002,10
07J19,CHKOH,CHKOH_VA,37.3604,-76.9019,1.3049999999999997,0.21749999999999994,6
07J20,JMSOH,JMSOH_VA,37.2198,-76.924,0.42200000000000004,0.0422,10
07J21,JMSTF,JMSTF_NATL,37.242,-76.94979999999998,2.4659999999999997,0.35228571428571426,7
07J22,JMSTF,JMSTF_NATL,37.2764,-77.04739999999998,4.538,0.3490769230769231,13
07J23,JMSTF,JMSTF_NATL,37.3081,-77.1066,0.033,0.0066,5
07J25,JMSTF,JMSTF_NATL,37.3197,-77.2209,0.039,0.002785714285714286,14
07J26,JMSMH,JMSMH_VA,37.0859,-76.59099999999998,0.036000000000000004,0.0025714285714285717,14
07J27,JMSMH,JMSMH_VA,36.9557,-76.42029999999998,0.3,0.01,30
07M01,CB8PH,CB8PH_VA,36.9462,-76.1114,0.252,0.0072,35
07M02,CB8PH,CB8PH_VA,37.0018,-76.1978,0.129,0.004607142857142857,28
07M03,CB8PH,CB8PH_VA,37.0801,-76.1988,0.132,0.0037714285714285714,35
07M04,CB7PH,CB7PH_VA,37.161,-76.0531,0.296,0.0073999999999999995,40
07M05,CB7PH,CB7PH_VA,37.162,-76.1213,0.20900000000000002,0.007740740740740742,27
07M06,MOBPH,MOBPH_VA,37.2101,-76.3656,0.231,0.00721875,32
07M08,MOBPH,MOBPH_VA,37.2497,-76.3966,0.079,0.0034347826086956524,23
07M09,MOBPH,MOBPH_VA,37.2524,-76.28489999999998,0.107,0.003689655172413793,29
07M10,CB7PH,CB7PH_VA,37.2688,-76.05769999999998,0.042,0.00168,25
07M11,MOBPH,MOBPH_VA,37.2893,-76.3664,0.20099999999999998,0.008739130434782609,23
07M12,CB6PH,CB6PH_VA,37.3242,-76.20789999999998,0.06999999999999999,0.002333333333333333,30
07M13,CB7PH,CB7PH_VA,37.5078,-76.0567,0.057999999999999996,0.0025217391304347826,23
07M15,CB7PH,CB7PH_VA,37.703,-76.10819999999998,0.04,0.0014814814814814814,27
07M16,CB7PH,CB7PH_VA,37.7461,-76.072,0.099,0.0035357142857142857,28
07M17,CB7PH,CB7PH_VA,37.7587,-75.92449999999998,0.031,0.001409090909090909,22
07M18,CB5MH,CB5MH_VA,37.7737,-76.21129999999998,0.038,0.0017272727272727272,22
07M19,CB5MH,CB5MH_VA,37.8142,-76.1821,0.027,0.003,9
07M20,TANMH,TANMH_VA,37.8262,-75.85129999999998,0.017,0.0013076923076923079,13
07M21,TANMH,TANMH_VA,37.8315,-75.85729999999998,0.014,0.0012727272727272728,11
07M22,TANMH,TANMH_VA,37.844,-75.8841,0.018000000000000002,0.0013846153846153847,13
07M23,POCMH,POCMH_VA,37.8972,-75.80849999999998,0.031,0.003875,8
07M24,CB5MH,CB5MH_VA,37.907,-76.0847,0.029,0.001380952380952381,21
07M25,POCMH,POCMH_VA,37.9159,-75.78709999999998,0.009000000000000001,0.0011250000000000001,8
07M26,CB7PH,CB7PH_VA,37.2098,-76.081,0.401,0.009325581395348838,43
07M27,CB7PH,CB7PH_VA,37.2406,-76.03579999999998,0.10200000000000001,0.003777777777777778,27
07R01,RPPMH,RPPMH_VA,37.6063,-76.34749999999998,0.052,0.002476190476190476,21
07R02,RPPMH,RPPMH_VA,37.5991,-76.3733,0.002,0.001,2
07R03,RPPMH,RPPMH_VA,37.5832,-76.39539999999998,0.034,0.001888888888888889,18
07R04,RPPMH,RPPMH_VA,37.585,-76.4218,0.037,0.005285714285714285,7
07R06,RPPMH,RPPMH_VA,37.6486,-76.48399999999998,0.011,0.0018333333333333333,6
07R07,CRRMH,CRRMH_VA,37.6763,-76.4885,0.015,0.0013636363636363635,11
07R08,CRRMH,CRRMH_VA,37.6918,-76.4723,0.004,0.002,2
07R09,RPPMH,RPPMH_VA,37.6232,-76.5274,0.025,0.002777777777777778,9
07R10,RPPMH,RPPMH_VA,37.631,-76.5395,0.03,0.003,10
07R11,RPPMH,RPPMH_VA,37.6474,-76.5642,0.054,0.003857142857142857,14
07R12,RPPMH,RPPMH_VA,37.6952,-76.5657,0.017,0.0017000000000000001,10
07R13,RPPMH,RPPMH_VA,37.7152,-76.57479999999998,0.02,0.0018181818181818182,11
07R14,RPPMH,RPPMH_VA,37.7206,-76.56279999999998,0.021,0.0015,14
07R15,RPPMH,RPPMH_VA,37.717,-76.59359999999998,0.028999999999999998,0.0020714285714285713,14
07R17,RPPMH,RPPMH_VA,37.7886,-76.6251,0.031,0.002214285714285714,14
07R18,RPPMH,RPPMH_VA,37.8433,-76.7388,1.6099999999999999,0.14636363636363636,11
07R19,RPPMH,RPPMH_VA,37.8753,-76.7534,0.133,0.0095,14
07R20,RPPMH,RPPMH_VA,37.9245,-76.825,0.09400000000000001,0.010444444444444445,9
07R21,RPPMH,RPPMH_VA,37.9325,-76.8229,0.098,0.007,14
07R22,RPPOH,RPPOH_VA,38.0731,-76.9282,0.092,0.004842105263157895,19
07R23,RPPOH,RPPOH_VA,38.075,-76.94249999999998,0.023,0.0014375,16
07R24,RPPTF,RPPTF_VA,38.1083,-77.03749999999998,0.084,0.00525,16
07R25,RPPTF,RPPTF_VA,38.136,-77.0809,0.064,0.0071111111111111115,9
07R26,RPPMH,RPPMH_VA,37.6235,-76.4423,0.023,0.0025555555555555557,9
07R27,RPPMH,RPPMH_VA,37.8021,-76.6927,0.035,0.003181818181818182,11
07Y01,YRKPH,YRKPH_VA,37.2739,-76.53539999999998,0.088,0.0028387096774193546,31
