"STATION","CBPSEG","cbpseg_st","LATITUDE","LONGITUDE","SUM","MEAN","COUNT","CellID","DistanceToNearestKm","Replacement"
"03R12","RPPMH","RPPMH_VA",37.6975,-76.5658,0.001,0.001,1,NA,813.170051534862,3212
"03R13","RPPMH","RPPMH_VA",37.7214,-76.5675,0.001,0.001,1,NA,209.470502845802,3296
"03R14","RPPMH","RPPMH_VA",37.7542,-76.5878,0.021,0.00175,12,NA,862.994374273191,3463
"03R15","RPPMH","RPPMH_VA",37.7772,-76.6103,0.027,0.00225,12,NA,883.232086487163,3629
"03R16","RPPMH","RPPMH_VA",37.7783,-76.6328,0.043,0.005375,8,NA,512.007086519316,3712
"03R17","RPPMH","RPPMH_VA",37.7931,-76.6486,0.056,0.007,8,NA,546.421298010942,3795
"03R18","RPPMH","RPPMH_VA",37.7631,-76.6525,0.014,0.002,7,NA,662.247579572078,3543
"03R20","RPPMH","RPPMH_VA",37.815,-76.6881,0.055,0.00458333333333333,12,NA,627.851099611635,3961
"03R21","RPPMH","RPPMH_VA",37.8136,-76.7075,0.092,0.00766666666666667,12,NA,695.332768457846,3960
"03R22","RPPMH","RPPMH_VA",37.8117,-76.7039,0.044,0.00314285714285714,14,NA,853.121640921452,3961
"03R23","RPPMH","RPPMH_VA",37.8264,-76.7219,0.03,0.00230769230769231,13,NA,513.854419691325,4044
"03R24","RPPMH","RPPMH_VA",37.9064,-76.8083,0.027,0.00245454545454545,11,NA,542.28820525924,4628
"03R25","RPPMH","RPPMH_VA",37.9556,-76.8703,0.008,0.0016,5,NA,1306.86870549496,4962
"03R26","RPPMH","RPPMH_VA",37.9739,-76.8753,0.01,0.00142857142857143,7,NA,2172.42038641363,4962
"03R28","RPPTF","RPPTF_VA",38.1606,-77.0853,0.02,0.00181818181818182,11,NA,14613.0729110936,6058
"03Y01","MOBPH","MOBPH_VA",37.2528,-76.3689,0.012,0.0015,8,NA,586.643289983212,1972
"03Y02","MOBPH","MOBPH_VA",37.26,-76.375,0.053,0.00294444444444444,18,NA,719.825594960697,1972
"03Y03","YRKPH","YRKPH_VA",37.2556,-76.4136,0.146,0.0045625,32,NA,961.869237591946,1885
"03Y04","YRKPH","YRKPH_VA",37.2392,-76.435,0.017,0.002125,8,NA,708.771992257943,1800
"03Y06","YRKPH","YRKPH_VA",37.2361,-76.4964,0.02,0.00166666666666667,12,NA,461.901398561595,1712
"03Y07","YRKPH","YRKPH_VA",37.2392,-76.5042,0.066,0.0033,20,NA,383.271961262828,1712
"03Y08","YRKPH","YRKPH_VA",37.2511,-76.5181,0.021,0.00175,12,NA,806.531118034826,1794
"03Y09","YRKPH","YRKPH_VA",37.2614,-76.5367,0.039,0.00177272727272727,22,NA,170.980052983585,1793
"03Y10","YRKPH","YRKPH_VA",37.2703,-76.5433,0.029,0.00207142857142857,14,NA,678.722670763729,1792
"03Y11","YRKPH","YRKPH_VA",37.2931,-76.5703,0.018,0.002,9,NA,519.67549436462,1874
"03Y12","YRKMH","YRKMH_VA",37.3028,-76.5939,0.027,0.0018,15,NA,707.944545680859,1872
"03Y13","YRKMH","YRKMH_VA",37.3142,-76.5886,0.056,0.00311111111111111,18,NA,164.460287737912,1956
"03Y15","YRKMH","YRKMH_VA",37.3583,-76.6286,0.048,0.00533333333333333,9,NA,1270.54103520167,2036
"03Y16","YRKMH","YRKMH_VA",37.3903,-76.66,0.031,0.00238461538461538,13,NA,1011.37488468689,2118
"03Y17","YRKMH","YRKMH_VA",37.3917,-76.6689,0.013,0.001625,8,NA,1075.30344744622,2118
"03Y18","YRKMH","YRKMH_VA",37.4094,-76.6694,0.064,0.00426666666666667,15,NA,534.201722135443,2201
"03Y19","YRKMH","YRKMH_VA",37.4172,-76.7044,0.035,0.00318181818181818,11,NA,876.699261611493,2200
"03Y20","YRKMH","YRKMH_VA",37.4306,-76.7081,0.016,0.0016,10,NA,1448.07957304053,2199
"03Y24","YRKMH","YRKMH_VA",37.4775,-76.7447,0.051,0.00364285714285714,14,NA,3527.14274333588,2282
"03Y26","YRKMH","YRKMH_VA",37.5222,-76.7892,0.085,0.00772727272727273,11,NA,9791.15535448595,2282
"04J01","JMSPH","JMSPH_VA",36.9564,-76.2847,0.045,0.00642857142857143,7,NA,1548.00289873324,730
"04J02","JMSPH","JMSPH_VA",37.0058,-76.3378,0.039,0.00216666666666667,18,NA,1296.52775202073,810
"04J03","JMSPH","JMSPH_VA",36.9803,-76.3708,0.044,0.00176,25,NA,1481.76165150472,641
"04J05","JMSMH","JMSMH_VA",36.9178,-76.4211,0.019,0.00172727272727273,11,NA,609.350841627255,474
"04J06","JMSMH","JMSMH_VA",36.9203,-76.4217,0.014,0.00155555555555556,9,NA,879.895399640849,473
"04J07","JMSMH","JMSMH_VA",36.9875,-76.4561,0.446,0.00991111111111111,45,NA,1436.90013124629,551
"04J08","JMSMH","JMSMH_VA",36.8861,-76.46,0.081,0.00736363636363636,11,NA,786.007223922394,389
"04J09","JMSMH","JMSMH_VA",36.9019,-76.4764,0.006,0.001,6,NA,431.642137090463,388
"04J10","JMSMH","JMSMH_VA",36.9997,-76.4761,0.097,0.00220454545454545,44,NA,1594.64718557602,549
"04J11","JMSMH","JMSMH_VA",36.9669,-76.4806,0.034,0.00309090909090909,11,NA,1750.44168884471,551
"04J14","JMSMH","JMSMH_VA",36.9978,-76.5256,0.049,0.0049,10,NA,1001.18806266373,546
"04J15","JMSMH","JMSMH_VA",37.0508,-76.5572,0.055,0.00323529411764706,17,NA,630.124439711558,625
"04J16","JMSMH","JMSMH_VA",37.0697,-76.5606,0.016,0.00145454545454545,11,NA,1066.29943398153,624
"04J17","JMSMH","JMSMH_VA",37.0556,-76.5603,0.039,0.00325,12,NA,382.39616144279,625
"04J19","JMSMH","JMSMH_VA",37.1583,-76.6231,0.238,0.017,14,NA,323.155611079078,868
"04J20","JMSMH","JMSMH_VA",37.19,-76.625,0.025,0.0025,10,NA,1233.59840411145,950
"04J22","JMSMH","JMSMH_VA",37.0847,-76.6336,0.014,0.00116666666666667,12,NA,848.587516560993,619
"04J23","JMSMH","JMSMH_VA",37.1106,-76.6483,0.028,0.00311111111111111,9,NA,969.188796216243,617
"04J25","JMSOH","JMSOH_VA",37.1839,-76.7425,0.03,0.003,10,NA,410.791010830646,776
"04J27","JMSOH","JMSOH_VA",37.2417,-76.9031,0.007,0.001,7,NA,1055.12941146503,683
"04J28","JMSOH","JMSOH_VA",37.2206,-76.9111,1.736,0.157818181818182,11,NA,832.906094110338,599
"04J29","JMSOH","JMSOH_VA",37.2175,-76.9175,0.042,0.00381818181818182,11,NA,352.236008011063,599
"04M01","CB7PH","CB7PH_VA",37.1417,-76.0392,0.06,0.00260869565217391,23,NA,868.021332524187,1914
"04M02","CB6PH","CB6PH_VA",37.15,-76.2036,0.16,0.005,32,NA,721.234620442121,1736
"04M03","CB6PH","CB6PH_VA",37.155,-76.1914,0.24,0.00615384615384615,39,NA,652.281521505707,1820
"04M05","MOBPH","MOBPH_VA",37.2142,-76.3508,0.011,0.001,11,NA,826.55666937643,1807
"04M06","CB7PH","CB7PH_VA",37.2306,-76.1186,0.126,0.00340540540540541,37,NA,553.000520665468,2075
"04M07","MOBPH","MOBPH_VA",37.2825,-76.3261,0.036,0.0018,20,NA,693.837214008759,2058
"04M08","CB7PH","CB7PH_VA",37.2928,-76.0683,0.059,0.00137209302325581,43,NA,305.648374190132,2245
"04M09","MOBPH","MOBPH_VA",37.3106,-76.3031,0.005,0.001,5,NA,802.035264894988,2143
"04M11","CB6PH","CB6PH_VA",37.3539,-76.21,0.037,0.00154166666666667,24,NA,490.420402679511,2317
"04M12","CB6PH","CB6PH_VA",37.3758,-76.2428,0.03,0.00157894736842105,19,NA,1297.30730146248,2314
"04M13","CB7PH","CB7PH_VA",37.3856,-76.0325,0.058,0.00170588235294118,34,NA,1388.13379031699,2414
"04M14","CB6PH","CB6PH_VA",37.4028,-76.2175,0.997,0.0586470588235294,17,NA,621.93444155349,2400
"04M15","CB7PH","CB7PH_VA",37.4039,-76.0394,0.06,0.00171428571428571,35,NA,1639.86237228729,2498
"04M16","CB7PH","CB7PH_VA",37.4331,-76.0964,0.016,0.00114285714285714,14,NA,963.671157651748,2493
"04M17","CB6PH","CB6PH_VA",37.4986,-76.1833,0.018,0.00138461538461538,13,NA,1624.42508362976,2653
"04M18","CB6PH","CB6PH_VA",37.5203,-76.1647,0.034,0.00188888888888889,18,NA,990.371722430448,2655
"04M19","CB6PH","CB6PH_VA",37.5217,-76.2744,0.032,0.002,16,NA,386.48231352176,2646
"04M20","CB7PH","CB7PH_VA",37.5967,-76.0594,0.044,0.00133333333333333,33,NA,1510.21745023783,2832
"04M21","CB7PH","CB7PH_VA",37.6539,-76.0522,0.014,0.00116666666666667,12,NA,524.429623509572,3001
"04M22","CB7PH","CB7PH_VA",37.6656,-76.0972,0.014,0.00155555555555556,9,NA,1161.63969944598,3081
"04M23","CB7PH","CB7PH_VA",37.6897,-75.9339,0.028,0.00121739130434783,23,NA,537.185104987718,3092
"04M24","CB5MH","CB5MH_VA",37.7925,-76.1744,0.008,0.00114285714285714,7,NA,339.815654908362,3580
"04M25","TANMH","TANMH_VA",37.8594,-76.0169,0.045,0.00409090909090909,11,NA,742.05878986461,3846
"04M26","CB5MH","CB5MH_VA",37.8753,-76.195,0.046,0.00242105263157895,19,NA,576.929911854226,4000
"04M30","CB5MH","CB5MH_MD",37.9256,-76.1519,0.018,0.00128571428571429,14,NA,1118.55949145703,4174
"04R01","RPPMH","RPPMH_VA",37.5972,-76.3672,0.036,0.003,12,NA,843.62597814555,2806
"04R02","RPPMH","RPPMH_VA",37.6172,-76.4158,0.022,0.00183333333333333,12,NA,496.59954258824,2887
"04R05","RPPMH","RPPMH_VA",37.6428,-76.4583,0.009,0.0018,5,NA,697.209778362989,2968
"04R06","RPPMH","RPPMH_VA",37.6261,-76.4664,0.018,0.002,9,NA,420.349929652602,2883
"04R07","CRRMH","CRRMH_VA",37.6597,-76.4836,0.008,0.00133333333333333,6,NA,1488.56997383489,2966
"04R08","RPPMH","RPPMH_VA",37.6317,-76.5261,0.018,0.0018,10,NA,883.533063935018,2879
"04R10","RPPMH","RPPMH_VA",37.685,-76.5603,0.018,0.00225,8,NA,580.572178650221,3128
"04R11","RPPMH","RPPMH_VA",37.7247,-76.5614,0.067,0.00352631578947368,19,NA,593.721653664411,3296
"04R12","RPPMH","RPPMH_VA",37.7008,-76.5775,0.011,0.00122222222222222,9,NA,573.753605662278,3211
"04R13","RPPMH","RPPMH_VA",37.7286,-76.5944,0.008,0.00114285714285714,7,NA,692.647058896305,3378
"04R15","RPPMH","RPPMH_VA",37.7578,-76.6061,0.007,0.00116666666666667,6,NA,646.956326685228,3546
"04R16","RPPMH","RPPMH_VA",37.7825,-76.6317,0.066,0.0055,12,NA,340.306188015613,3712
"04R17","RPPMH","RPPMH_VA",37.7633,-76.6594,0.051,0.00566666666666667,9,NA,810.223114733338,3627
"04R20","RPPMH","RPPMH_VA",37.8058,-76.6992,0.031,0.00281818181818182,11,NA,542.987252870361,3877
"04R21","RPPMH","RPPMH_VA",37.8031,-76.7022,0.019,0.00211111111111111,9,NA,671.931624798013,3877
