LBL,Aggregate_grp,Aggregate_grp2,Func_grp,General_grouping,Family,Order,Class ,TSN,NODC_CODE
Apoprionospio pygmaea,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida,Polychaeta,66847,
Arabella iricolor,polychaete,polychaete,worms,polychaete,Oenonidae,Eunicida  ,Polychaeta,66441,
Arabellidae,polychaete,polychaete,worms,polychaete,Arabellidae,Eunicida  ,Polychaeta,66422,
arbacia punctulata,echinoderm,echinoderm,echinoderm,echinoderm,Arbaciidae,Arbacioida,Echinoidea,,
Arcteonais lomondi,oligocheate,oligocheate,worms,oligocheate,Naididae     ,Tubificida,Oligochaeta,68976,
arcuatula papyria,other_bivalves,Small_bivalve,bivalves,bivalve,Mytillidae   ,Mytilida     ,Bivalvia         ,,
Aricidea catherinae,polychaete,polychaete,worms,polychaete,Paraonidae,Cirratulida,Polychaeta,66765,
Aricidea cerrutii,polychaete,polychaete,worms,polychaete,Paraonidae,Cirratulida,Polychaeta,204494,
Aricidea fragilis,polychaete,polychaete,worms,polychaete,Paraonidae,Cirratulida,Polychaeta,66678,
aricidea spp.,polychaete,polychaete,worms,polychaete,Paraonidae,Cirratulida,Polychaeta,,
Aricidea wassi,polychaete,polychaete,worms,polychaete,Paraonidae,Cirratulida,Polychaeta,66673,
Asabellides oculata,polychaete,polychaete,worms,polychaete,Ampharetidae,Terebellida,Polychaeta,67786,
ascidiacea,tunicate,tunicate,tunicate,tunicate,.,.,Ascidiacea,,
asellus spp.,isopods,isopods,small_crust,amphipods_isopods,Asellidae,Isopoda         ,Malacostraca,,
Astyris lunata,gastropod,gastropod,Gastropods,gastropod,Columbellidae,Neogastropoda,Gastropoda,#N/A,
Aulodrilus pigueti,oligocheate,oligocheate,worms,oligocheate,Naididae     ,Tubificida,Oligochaeta,68680,
Autolytus spp.,polychaete,polychaete,worms,polychaete,Syllidae   ,Phyllodocida,Polychaeta,#N/A,
Automate evermanni,decapod_shrimp,large_decapod,decapod_shrimp,decapod_shrimp,Alpheidae ,Decapoda ,Malacostraca,96679,
axarus spp.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,,
baetidae,insect,insect,insect,insect,Baetidae,Ephemeroptera,Insecta       ,,
baetis spp.,insect,insect,insect,insect,Baetidae,Ephemeroptera,Insecta       ,,
Balanoglossus aurantiac,worm_like_taxa,worm_like_taxa,worm_like_taxa,hemichordate,Ptychoderidae,Enteropneusta,Enteropneusta,#N/A,
balanoglossus aurantiacus,worm_like_taxa,worm_like_taxa,worm_like_taxa,hemichordate,Ptychoderidae,Enteropneusta,Enteropneusta,,
Balanus improvisus,barnacle,barnacle,barnacle,barnacle,Balanidae      ,Sessilia             ,Maxillopoda,89622,
balanus spp.,barnacle,barnacle,barnacle,barnacle,Balanidae      ,Sessilia             ,Maxillopoda,,
Barnea truncata,other_bivalves,Large_bivalve,bivalves,bivalve,Pholadidae,Myida          ,Bivalvia         ,81798,
basommatophora,gastropod,gastropod,Gastropods,gastropod,.,Basommatophora,Gastropoda,,
Batea catharinensis,amphipods,amphipods,small_crust,amphipods_isopods,Bateidea      ,Amphipoda,Malacostraca,93528,
bathyporeia parkeri,amphipods,amphipods,small_crust,amphipods_isopods,Bathyporeiidae,Amphipoda,Malacostraca,,
bellamya japonica,gastropod,gastropod,Gastropods,gastropod,Viviparidae,Architaenioglossa,Gastropoda,,
Bezzia spp.,insect,insect,insect,insect,Ceratopogonidae,Diptera          ,Insecta       ,#N/A,
Bhawania heteroseta,polychaete,polychaete,worms,polychaete,Chrysopetalidae,Phyllodocida,Polychaeta,65159,
Biffarius biformis,decapod_shrimp,large_decapod,decapod_shrimp,Infaunal_shrimp,Callianassidae ,Decapoda ,Malacostraca,#N/A,
Bivalvia,other_bivalves,Small_bivalve,bivalves,bivalve,.,.,Bivalvia         ,79118,
boccardiella hamata,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida ,Polychaeta,,
Boccardiella ligerica,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida ,Polychaeta,67012,
boonea impressa,gastropod,gastropod,Gastropods,gastropod,Pyramidellidae,Heterobranchia,Gastropoda,,
Bothrioneurum vejdovsky,oligocheate,oligocheate,worms,oligocheate,Naididae     ,Tubificida,Oligochaeta,#N/A,
bothrioneurum vejdovskyanum,oligocheate,oligocheate,worms,oligocheate,Naididae     ,Tubificida,Oligochaeta,#N/A,
Brachyura,decapod_crab,large_decapod,decapod_crab,decapod_crab,.,Decapoda,Malacostraca,98276,
Brachyuran zoea,decapod_crab,large_decapod,decapod_crab,decapod_crab,.,Decapoda,Malacostraca,#N/A,
branchiodrilus spp.,oligocheate,oligocheate,worms,oligocheate,Naididae     ,Tubificida,Oligochaeta,,
Branchiostoma caribaeum,amphioxus,amphioxus,amphioxus,amphioxus,Branchiostomatidae,Amphioxiformes,Leptocardii,159682,
