"LBL","Aggregate_grp","Aggregate_grp2","Func_grp","General_grouping","Family","Order","Class","TSN","NODC_CODE"
"apocorophium spp.","amphipods_isopods","amphipods","small_crust","amphipod","Corophioidea","Amphipoda","Malacostraca",NA,NA
"apoprionospio pygmaea","polychaete","polychaete","worms","polychaete","Spionidae","Spionida","Polychaeta","66847",NA
"arabella iricolor","polychaete","polychaete","worms","polychaete","Oenonidae","Eunicida","Polychaeta","66441",NA
"arabellidae","polychaete","polychaete","worms","polychaete","Arabellidae","Eunicida","Polychaeta","66422",NA
"arbacia punctulata",NA,"echinoderm","echinoderm","echinoderm","Arbaciidae","Arbacioida","Echinoidea",NA,NA
"arcteonais lomondi",NA,"oligocheate","worms","oligocheate","Naididae","Tubificida","Oligochaeta","68976",NA
"arcuatula papyria","other_bivalves","Small_bivalve","bivalves","bivalve","Mytillidae","Mytilida","Bivalvia",NA,NA
"aricidea catherinae","polychaete","polychaete","worms","polychaete","Paraonidae","Cirratulida","Polychaeta","66765",NA
"aricidea cerrutii","polychaete","polychaete","worms","polychaete","Paraonidae","Cirratulida","Polychaeta","204494",NA
"aricidea fragilis","polychaete","polychaete","worms","polychaete","Paraonidae","Cirratulida","Polychaeta","66678",NA
"aricidea spp.","polychaete","polychaete","worms","polychaete","Paraonidae","Cirratulida","Polychaeta",NA,NA
"aricidea wassi","polychaete","polychaete","worms","polychaete","Paraonidae","Cirratulida","Polychaeta","66673",NA
"asabellides oculata","polychaete","polychaete","worms","polychaete","Ampharetidae","Terebellida","Polychaeta","67786",NA
"ascidiacea",NA,"tunicate","tunicate","tunicate",NA,NA,"Ascidiacea",NA,NA
"asellus spp.","amphipods_isopods","isopods","small_crust","isopod","Asellidae","Isopoda","Malacostraca",NA,NA
"astyris lunata",NA,"gastropod","Gastropods","gastropod","Columbellidae","Neogastropoda","Gastropoda",NA,NA
"aulodrilus pigueti",NA,"oligocheate","worms","oligocheate","Naididae","Tubificida","Oligochaeta","68680",NA
"autolytus spp.","polychaete","polychaete","worms","polychaete","Syllidae","Phyllodocida","Polychaeta",NA,NA
"automate evermanni",NA,"large_decapod","decapod_shrimp","decapod_shrimp","Alpheidae","Decapoda","Malacostraca","96679",NA
"axarus spp.",NA,"chironomid","insect","insect","Chironomidae","Diptera","Insecta",NA,NA
"baetidae","insect","insect","insect","insect","Baetidae","Ephemeroptera","Insecta",NA,NA
"baetis spp.","insect","insect","insect","insect","Baetidae","Ephemeroptera","Insecta",NA,NA
"balanoglossus aurantiac",NA,NA,NA,"hemichordate","Ptychoderidae","Enteropneusta","Enteropneusta",NA,NA
"balanoglossus aurantiacus",NA,NA,NA,"hemichordate","Ptychoderidae","Enteropneusta","Enteropneusta",NA,NA
"balanus improvisus",NA,NA,NA,"barnacle","Balanidae","Sessilia","Maxillopoda","89622",NA
"balanus spp.",NA,NA,NA,"barnacle","Balanidae","Sessilia","Maxillopoda",NA,NA
"barnea truncata","other_bivalves","Large_bivalve","bivalves","bivalve","Pholadidae","Myida","Bivalvia","81798",NA
"basommatophora","gastropod","gastropod","Gastropods","gastropod",NA,"Basommatophora","Gastropoda",NA,NA
"batea catharinensis","amphipods_isopods","amphipods","small_crust","amphipod","Bateidea","Amphipoda","Malacostraca","93528",NA
"bathyporeia parkeri","amphipods_isopods","amphipods","small_crust","amphipod","Bathyporeiidae","Amphipoda","Malacostraca",NA,NA
"bellamya japonica","gastropod","gastropod","Gastropods","gastropod","Viviparidae","Architaenioglossa","Gastropoda",NA,NA
"bezzia spp.",NA,NA,"insect","insect","Ceratopogonidae","Diptera","Insecta",NA,NA
"bhawania heteroseta","polychaete","polychaete","worms","polychaete","Chrysopetalidae","Phyllodocida","Polychaeta","65159",NA
"biffarius biformis",NA,"large_decapod","decapod_shrimp","Infaunal_shrimp","Callianassidae","Decapoda","Malacostraca",NA,NA
"bivalvia","other_bivalves","Small_bivalve","bivalves","bivalve",NA,NA,"Bivalvia","79118",NA
"boccardiella hamata","polychaete","polychaete","worms","polychaete","Spionidae","Spionida","Polychaeta",NA,NA
"boccardiella ligerica","polychaete","polychaete","worms","polychaete","Spionidae","Spionida","Polychaeta","67012",NA
"boonea impressa","gastropod","gastropod","Gastropods","gastropod","Pyramidellidae","Heterobranchia","Gastropoda",NA,NA
"bothrioneurum vejdovsky",NA,"oligocheate","worms","oligocheate","Naididae","Tubificida","Oligochaeta",NA,NA
"bothrioneurum vejdovskyanum",NA,"oligocheate","worms","oligocheate","Naididae","Tubificida","Oligochaeta",NA,NA
"brachyura",NA,"large_decapod","decapod_crab","decapod_crab",NA,"Decapoda","Malacostraca","98276",NA
"brachyuran zoea",NA,"large_decapod","decapod_crab","decapod_crab",NA,"Decapoda","Malacostraca",NA,NA
"branchiodrilus spp.",NA,"oligocheate","worms","oligocheate","Naididae","Tubificida","Oligochaeta",NA,NA
"branchiostoma caribaeum",NA,NA,NA,"amphioxus","Branchiostomatidae","Amphioxiformes","Leptocardii","159682",NA
"branchiura sowerbyi",NA,"oligocheate","worms","oligocheate","Naididae","Tubificida","Oligochaeta","68621",NA
"brania clavata","polychaete","polychaete","worms","polychaete","Syllidae","Phyllodocida","Polychaeta","65761",NA
"brania wellfleetensis","polychaete","polychaete","worms","polychaete","Syllidae","Phyllodocida","Polychaeta","65762",NA
"bratislavia unidentata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"busycon canaliculatum","gastropod","gastropod","Gastropods","gastropod","Buccinidae","Neogastropoda","Gastropoda",NA,NA
"busycon carica","gastropod","gastropod","Gastropods","gastropod","Buccinidae","Neogastropoda","Gastropoda",NA,NA
"busycon spp.","gastropod","gastropod","Gastropods","gastropod","Buccinidae","Neogastropoda","Gastropoda",NA,NA
"cabira incerta","polychaete","polychaete","worms","polychaete","Pilargidae","Phyllodocida","Polychaeta","65565",NA
"caecum pulchellum",NA,"gastropod","Gastropods","gastropod","Caecidae","Littorinimorpha","Gastropoda","71380",NA
"caenis spp.",NA,NA,"insect","insect","Caenidae","Ephemeroptera","Insecta",NA,NA
"callianassa setimanus",NA,"large_decapod","decapod_shrimp","Infaunal_shrimp","Callianassidae","Decapoda","Malacostraca","97760",NA
"callinectes sapidus","blue_crab","large_decapod","decapod_crab","decapod_crab","Portunidae","Decapoda","Malacostraca","98696",NA
"campeloma decisum",NA,"gastropod","Gastropods","gastropod","Viviparidae","Architaenioglossa","Gastropoda","70312",NA
"capitella capitata comp","polychaete","polychaete","worms","polychaete","Capitellidae","Scolecida","Polychaeta",NA,NA
"capitella capitata complex","polychaete","polychaete","worms","polychaete","Capitellidae","Scolecida","Polychaeta",NA,NA
"capitellidae","polychaete","polychaete","worms","polychaete","Capitellidae","Scolecida","Polychaeta",NA,NA
"capitellides jonesi","polychaete","polychaete","worms","polychaete","Capitellidae","Scolecida","Polychaeta","67450",NA
"capitellides sp.","polychaete","polychaete","worms","polychaete","Capitellidae","Scolecida","Polychaeta",NA,NA
"capitomastus aciculatus","polychaete","polychaete","worms","polychaete","Capitellidae","Scolecida","Polychaeta",NA,NA
"caprella equilibra","amphipods_isopods","amphipods","small_crust","amphipod","Caprellidae","Amphipoda","Malacostraca","95410",NA
"caprella penantis","amphipods_isopods","amphipods","small_crust","amphipod","Caprellidae","Amphipoda","Malacostraca","95419",NA
"carazziella hobsonae","polychaete","polychaete","worms","polychaete","Spionidae","Spionida","Polychaeta","67003",NA
"carinoma tremaphoros",NA,NA,"worms","nemertean","Carinomidae","Paleonemertea","Anopla","57429",NA
"carinomella lactea",NA,"nemertea","worms","nemertean","carinomellidae","Paleonemertea","Nemertea",NA,NA
"cassidinidea ovalis","amphipods_isopods","isopods","small_crust","isopod","Sphaeromatidea","Isopoda","Malacostraca","92348",NA
"caulleriella venefica","polychaete","polychaete","worms","polychaete","Cirratulidae","Terebellida","Polychaeta",NA,NA
"cerapus tubularis","amphipods_isopods","amphipods","small_crust","amphipod","Ischyroceridae","Amphipoda","Malacostraca","93587",NA
"ceratonereis irritabili","polychaete","polychaete","worms","polychaete","Nereididae","Phyllodocida","Polychaeta",NA,NA
"ceratonereis irritabilis","polychaete","polychaete","worms","polychaete","Nereididae","Phyllodocida","Polychaeta","65874",NA
"ceratopogonidae",NA,NA,"insect","insect","Ceratopogonidae","Diptera","Insecta","127076",NA
"ceriantheopsis american",NA,NA,NA,"cnidaria","Cerianthidae","Spirularia","Anthozoa",NA,NA
"ceriantheopsis americanus",NA,NA,NA,"cnidaria","Cerianthidae","Spirularia","Anthozoa",NA,NA
"cerithiopsis greeni","gastropod","gastropod","Gastropods","gastropod","Cerithiopsidae","Caenongastropoda","Gastropoda",NA,NA
"cernotina spp.","insect","insect","insect","insect","Polycentropodidae","Trichoptera","Insecta",NA,NA
"chaetopterus variopedat","polychaete","polychaete","worms","polychaete","Chaetopteridae","Phyllodocida","Polychaeta",NA,NA
"chaetopterus variopedatus","polychaete","polychaete","worms","polychaete","Chaetopteridae","Phyllodocida","Polychaeta","67097",NA
"chaetozone setosa","polychaete","polychaete","worms","polychaete","Cirratulidae","Terebellida","Polychaeta","67157",NA
"chaoborus albatus","insect","insect","insect","insect","Chaoboridae","Diptera","Insecta","125905",NA
"chaoborus punctipennis","insect","insect","insect","insect","Chaoboridae","Diptera","Insecta","125923",NA
"chaoborus spp.","insect","insect","insect","insect","Chaoboridae","Diptera","Insecta",NA,NA
"chiridotea almyra","amphipods_isopods","isopods","small_crust","isopod","Chaetilidae","Isopoda","Malacostraca","92638",NA
"chiridotea arenicola","amphipods_isopods","isopods","small_crust","isopod","Chaetilidae","Isopoda","Malacostraca","92639",NA
"chiridotea caeca","amphipods_isopods","isopods","small_crust","isopod","Chaetilidae","Isopoda","Malacostraca","92641",NA
"chiridotea nigrescens","amphipods_isopods","isopods","small_crust","isopod","Chaetilidae","Isopoda","Malacostraca","92642",NA
"chiridotea spp.","amphipods_isopods","isopods","small_crust","isopod","Chaetilidae","Isopoda","Malacostraca","92642",NA
"chironomidae",NA,"chironomid","insect","chironomid","Chironomidae","Diptera","Insecta","127917",NA
"chironomidae pupae",NA,"chironomid","insect","chironomid","Chironomidae","Diptera","Insecta",NA,NA
"chironomini",NA,"chironomid","insect","chironomid","Chironomidae","Diptera","Insecta","129229",NA
"chironomus spp.",NA,"chironomid","insect","chironomid","Chironomidae","Diptera","Insecta",NA,NA
"cipangopaludina chinensis","gastropod","gastropod","Gastropods","gastropod","Viviparidae","Architaenioglossa","Gastropoda",NA,NA
"cirratulidae","polychaete","polychaete","worms","polychaete","Cirratulidae","Terebellida","Polychaeta","67116",NA
"cirrophorus furcatus","polychaete","polychaete","worms","polychaete","Paraonidae","Cirratulida","Polychaeta","66714",NA
"cirrophorus lyriformis","polychaete","polychaete","worms","polychaete","Paraonidae","Cirratulida","Polychaeta","66709",NA
"cirrophorus spp.","polychaete","polychaete","worms","polychaete","Paraonidae","Cirratulida","Polychaeta",NA,NA
"cladotanytarsus spp.",NA,"chironomid","insect","insect","Chironomidae","Diptera","Insecta",NA,NA
"cladotanytarsus spp. b epler",NA,"chironomid","insect","insect","Chironomidae","Diptera","Insecta",NA,NA
"cladotanytarsus viridiventris",NA,"chironomid","insect","insect","Chironomidae","Diptera","Insecta","129877",NA
"clinotanypus pinguis",NA,"chironomid","insect","insect","Chironomidae","Diptera","Insecta","127998",NA
"clymenella torquata","polychaete","polychaete","worms","polychaete","Maldanidae","Scolecida","Polychaeta","67528",NA
