"CellID","SAMPLE_DATE","Year","Cell","Emb1","Emb2"
"x10047",1995-09-06,1995,3033,0.487137771547721,-0.0443999793059811
"x4189",1995-08-30,1995,1322,0.416764729623501,0.14695113091432
"x4432",1995-08-30,1995,1403,0.717822532486406,0.494504316664036
"x4434",1995-08-30,1995,1405,0.623882110905834,0.199206202193115
"x4444",1995-08-30,1995,1412,0.192664520653193,0.202634286364717
"x4608",1995-08-30,1995,1488,0.787988662912133,0.212625643465413
"x4696",1995-08-30,1995,1536,0.581548842473778,0.27035489094164
"x4697",1995-08-30,1995,1537,0.450494117850664,0.289290031960288
"x4747",1995-08-28,1995,1551,0.267281222099959,0.0932917507458005
"x4832",1995-08-29,1995,1596,0.220554416656061,0.348527922028779
"x4838",1995-08-28,1995,1600,0.367878229041963,-0.000509688632949872
"x5009",1995-08-28,1995,1685,0.655498090189332,0.188330577214232
"x5033",1995-08-30,1995,1705,1.13494284975243,0.356330916563357
"x5273",1995-08-30,1995,1813,0.472821730939386,0.0961764957630848
"x5286",1995-08-30,1995,1824,0.507492563852853,0.449864953931772
"x5319",1995-08-28,1995,1827,0.313454973774368,-0.00997503882374527
"x5524",1995-08-30,1995,1910,0.473906502654495,0.224886107459515
"x5561",1995-08-28,1995,1917,0.337740872261249,0.254934744874507
"x5611",1995-08-30,1995,1949,0.477527139132262,0.199828075123192
"x5726",1995-08-28,1995,1981,0.204399050188915,0.0331026462168111
"x5775",1995-08-30,1995,2003,0.418168072458178,0.137190142341338
"x5813",1995-08-28,1995,2012,0.900135797651382,-0.0412857907832638
"x5839",1995-09-01,1995,2015,0.445920741648768,0.23774731369483
"x5923",1995-09-01,1995,2045,0.503330260670069,0.20933429458243
"x5942",1995-08-30,1995,2056,0.621005943235838,0.133492527638156
"x6006",1995-08-31,1995,2066,0.366693330941816,0.184599480182731
"x6058",1995-08-29,1995,2079,0.495235158378799,0.481021270098405
"x6089",1995-08-31,1995,2085,0.772752676596246,0.221156752034985
"x6171",1995-08-31,1995,2103,0.267622911792228,0.492469315088699
"x6173",1995-08-31,1995,2105,0.36105077109483,0.420943162946871
"x6252",1995-08-31,1995,2123,0.382499468786599,0.371075729319954
"x6254",1995-08-31,1995,2125,0.605241395392543,0.0664616630925027
"x6395",1995-08-28,1995,2162,0.244529297811463,0.132547411835585
"x6417",1995-08-31,1995,2163,0.143766096222681,0.194052570875644
"x6418",1995-08-31,1995,2164,-0.0899307990613467,0.18157069295159
"x6501",1995-08-31,1995,2183,0,0
"x6599",1995-09-01,1995,2211,0.421023261106071,0.152109747107999
"x6632",1995-09-08,1995,2234,0.403234953113069,0.134305185727077
"x6643",1995-08-29,1995,2238,0.679916303279814,0.106296987543764
"x6645",1995-08-29,1995,2240,0.068508961587505,0.376637402667977
"x6647",1995-08-28,1995,2242,0,0
"x6647",1995-08-29,1995,2242,0,0
"x6724",1995-08-29,1995,2267,0.453959152437353,0.183796829824484
"x6784",1995-09-08,1995,2286,-0.137021703485454,0.146297213142653
"x6796",1995-09-08,1995,2290,0.291026907936409,0.147737590326538
"x6892",1995-08-29,1995,2320,0.494704238313199,-0.00173833042289862
"x7037",1995-09-08,1995,2366,0.454575347769327,0.245564471670804
"x7039",1995-09-08,1995,2368,0.341602436487281,-0.060361554812496
"x7121",1995-09-08,1995,2394,0.252954488381545,0.210197446995437
"x7359",1995-09-05,1995,2467,-0.427429539459845,0.109824124560768
"x7370",1995-09-08,1995,2478,0.132667886663356,0.247496811490539
"x7441",1995-09-05,1995,2491,-0.404888436215864,0.0186990868309155
"x7606",1995-09-05,1995,2537,-0.494709747965831,0.0173028144630732
"x8110",1995-09-05,1995,2662,-0.245329900688789,0.0155075260304907
"x8362",1995-09-05,1995,2721,0.0415584767186811,-0.0176467345615416
"x8534",1995-09-05,1995,2747,-0.113537082175841,0.143404092943446
"x8539",1995-09-05,1995,2752,0.692202388743644,0.587417971883843
"x8613",1995-09-05,1995,2763,0.0553988767628132,-0.0582765297916284
"x8614",1995-09-05,1995,2764,-0.0543479050940295,0.00786845263405367
"x8618",1995-09-05,1995,2768,0.151273572426599,0.0660777710369025
"x8623",1995-09-05,1995,2773,0.0733545459437173,0.207132801516291
"x8634",1995-09-08,1995,2783,-0.622275205054061,-0.0287767508129617
"x8637",1995-09-08,1995,2786,0.377538679237904,0.315143363765264
"x8700",1995-09-07,1995,2794,0.841047072394761,0.289829649018689
"x8720",1995-09-08,1995,2812,-0.712585349946324,0.151760967796283
"x8766",1995-09-07,1995,2813,-0.524188503491435,0.260164368205104
"x8767",1995-09-07,1995,2814,-0.270690133271339,0.161118444045782
"x8768",1995-09-06,1995,2815,-0.656386443769117,-0.00335874930552493
"x8770",1995-09-06,1995,2817,0.703684638721798,0.22483384002356
"x8770",1995-09-07,1995,2817,0.682617785189839,0.233852729062681
"x8771",1995-09-07,1995,2818,0.398441851005288,0.308105505903829
"x8775",1995-09-07,1995,2822,0,0
"x8780",1995-09-07,1995,2827,0.0186358009317599,0.103018879261553
"x8784",1995-09-07,1995,2831,0.0264304951596091,0.0829995896543474
"x8791",1995-09-07,1995,2838,-0.299405928493068,0.0413833795474768
"x8792",1995-09-07,1995,2839,-0.547294000034323,0.025077720525778
"x8798",1995-09-07,1995,2845,0.239395630067685,0.241906139960586
"x8803",1995-09-06,1995,2846,0,0
"x8804",1995-09-06,1995,2847,0.616980018581993,0.232919802793987
"x8804",1995-09-08,1995,2847,0.565878655065282,0.241966211409502
"x8860",1995-09-06,1995,2850,0.0842302990080703,0.200549454277297
